imagem;index;mediana;mean global;desvio;mean blue;desv blue;mean green;desv green;mean red;desv red;R/G mean;R/B mean;R/G desv;R/B desv;isfire
abc006.jpg;36;116;117,551;10,464;118,934;10,059;113,382;9,386;120,338;10,589;1,061;1,012;1,128;1,053;0
abc006.jpg;37;112;114,32;11,763;108,157;6,958;109,638;8,335;125,165;10,94;1,142;1,157;1,313;1,572;0
abc006.jpg;38;135;134,269;9,479;131,378;9,814;130,11;7,54;141,32;6,405;1,086;1,076;0,849;0,653;0
abc006.jpg;39;116;116,705;28,47;110,563;32,099;117,354;25,097;122,198;26,516;1,041;1,105;1,057;0,826;0
abc006.jpg;40;34;35,038;10,892;29,33;9,918;39,235;9,739;36,55;10,498;0,932;1,246;1,078;1,058;0
abc006.jpg;41;74;85,433;45,813;71,898;40,103;86,965;42,666;97,437;50,38;1,12;1,355;1,181;1,256;0
abc006.jpg;42;111;111,124;44,013;99,234;41,057;111,499;41,622;122,64;46,035;1,1;1,236;1,106;1,121;0
abc006.jpg;43;163;158,277;24,336;146,522;21,825;156,562;21,407;171,749;22,793;1,097;1,172;1,065;1,044;0
abc006.jpg;44;163;165,102;10,734;153,707;2,966;163,008;2,986;178,592;3,426;1,096;1,162;1,147;1,155;0
abc006.jpg;45;148;148,769;14,837;139,387;9,623;144,704;11,289;162,216;12,45;1,121;1,164;1,103;1,294;0
abc006.jpg;46;124;129,727;20,722;116,429;11,031;122,792;11,84;149,962;19,798;1,221;1,288;1,672;1,795;0
abc006.jpg;47;107;116,478;30,909;100,514;11,961;107,792;19,292;141,13;37,588;1,309;1,404;1,948;3,143;1
abc006.jpg;48;115;115,747;11,1;111,646;8,635;112,963;9,005;122,632;11,918;1,086;1,098;1,323;1,38;0
abc006.jpg;49;103;104,372;25,886;99,934;26,541;104,464;24,156;108,718;26,149;1,041;1,088;1,082;0,985;0
abc006.jpg;50;28;29,91;11,421;25,93;10,438;32,922;11,084;30,88;11,562;0,938;1,191;1,043;1,108;0
abc006.jpg;51;52;61,418;31,507;53,797;29,195;63,642;30,051;66,816;33,623;1,05;1,242;1,119;1,152;0
abc006.jpg;52;85;87,93;29,648;76,642;27,635;90,859;27,822;96,288;29,89;1,06;1,256;1,074;1,082;0
abc006.jpg;53;139;127,62;39,351;113,069;37,767;128,73;34,103;141,061;40,774;1,096;1,248;1,196;1,08;0
abc006.jpg;54;158;160,946;15,016;146,19;6,055;156,947;5,41;179,699;5,012;1,145;1,229;0,926;0,828;0
abc006.jpg;55;156;167,115;36,458;136,344;9,585;159,47;19,194;205,531;32,343;1,289;1,507;1,685;3,374;1
abc006.jpg;56;168;178,679;42,767;137,675;11,56;173,646;28,488;224,717;26,751;1,294;1,632;0,939;2,314;1
abc006.jpg;57;123;134,881;40,341;115,171;16,786;126,323;28,246;163,147;50,417;1,292;1,417;1,785;3,003;1
abc006.jpg;58;101;101,941;7,307;97,821;5,98;99,578;5,44;108,426;5,497;1,089;1,108;1,01;0,919;0
abc006.jpg;59;93;93,576;13,511;88,966;12,066;92,186;11,192;99,576;14,752;1,08;1,119;1,318;1,223;0
abc006.jpg;60;24;24,195;5,374;21,064;4,58;26,69;4,741;24,832;5,172;0,93;1,179;1,091;1,129;0
abc006.jpg;61;42;47,609;20,358;41,75;19,045;49,066;19,404;52,011;21,175;1,06;1,246;1,091;1,112;0
abc006.jpg;62;52;54,923;19,013;44,906;17,724;59,925;17,177;59,939;18,021;1;1,335;1,049;1,017;0
abc006.jpg;63;97;104,954;48,566;86,872;42,759;106,24;41,345;121,75;54,107;1,146;1,401;1,309;1,265;0
abc006.jpg;64;163;168,113;23,232;146,475;9,29;161,046;7,226;196,816;11,773;1,222;1,344;1,629;1,267;0
abc006.jpg;65;188;188,351;47,22;133,686;11,044;188,312;19,578;243,054;14,254;1,291;1,818;0,728;1,291;1
abc006.jpg;66;143;149,768;30,994;122,728;12,782;141,192;15,511;185,384;20,117;1,313;1,511;1,297;1,574;0
abc006.jpg;67;113;118,131;19,031;104,178;8,986;112,11;10,847;138,106;16,07;1,232;1,326;1,482;1,788;0
abc006.jpg;68;100;103,995;20,899;92,059;13,848;99,088;15,274;120,837;20,86;1,219;1,313;1,366;1,506;0
abc006.jpg;69;89;96,469;30,174;80,418;16,723;92,264;24,583;116,726;34,083;1,265;1,452;1,386;2,038;1
abc006.jpg;70;26;25,651;4,53;21,923;3,427;28,648;3,799;26,382;3,461;0,921;1,203;0,911;1,01;0
abc006.jpg;71;31;31,027;6,889;24,346;3,861;35,354;5,605;33,382;5,211;0,944;1,371;0,93;1,349;0
abc006.jpg;72;41;45,831;22,936;34,446;16,584;48,36;17,735;54,686;27,824;1,131;1,588;1,569;1,678;0
abc006.jpg;73;140;141,693;47,272;113,491;33,215;134,296;34,715;177,293;47,729;1,32;1,562;1,375;1,437;0
abc006.jpg;74;168;181,43;45,102;131,536;9,17;178,312;21,83;234,442;15,245;1,315;1,782;0,698;1,662;1
abc006.jpg;75;199;184,656;56,659;117,704;17,952;193,493;33,513;242,771;15,722;1,255;2,063;0,469;0,876;1
abc006.jpg;76;112;119,466;34,853;88,021;11,01;111,61;15,96;158,766;25,946;1,423;1,804;1,626;2,357;0
abc006.jpg;77;96;98,095;16,966;83,597;8,899;93,715;8,488;116,974;11,248;1,248;1,399;1,325;1,264;0
abc006.jpg;78;84;86,213;12,012;76,16;6,134;82,509;6,047;99,97;7,392;1,212;1,313;1,222;1,205;0
abc006.jpg;79;81;83,015;11,817;74,226;7,903;79,763;7,332;95,056;8,362;1,192;1,281;1,14;1,058;0
abc006.jpg;80;20;19,974;5,129;16,696;4,509;21,853;4,593;21,373;4,613;0,978;1,28;1,004;1,023;0
abc006.jpg;81;28;29,219;8,983;24,234;7,978;30,451;7,995;32,971;8,606;1,083;1,361;1,076;1,079;0
abc006.jpg;82;51;59,278;33,368;39,63;20,307;56,707;23,336;81,496;38,692;1,437;2,056;1,658;1,905;0
abc006.jpg;83;139;150,098;59,871;96,413;24,08;140,792;33,221;213,09;46,189;1,514;2,21;1,39;1,918;1
abc006.jpg;84;200;173,201;76,574;109,528;40,556;193,594;69,53;216,48;69,054;1,118;1,976;0,993;1,703;1
abc006.jpg;85;82;101,446;66,675;72,483;34,726;103,774;66,103;128,08;78,787;1,234;1,767;1,192;2,269;1
abc006.jpg;86;68;70,817;21,692;60,184;13,663;68,888;16,279;83,379;26,18;1,21;1,385;1,608;1,916;0
abc006.jpg;87;77;79,961;12,206;70,594;7,073;76,816;6,744;92,472;9,864;1,204;1,31;1,463;1,395;0
abc006.jpg;88;89;89,309;14,956;81,563;14,202;91,12;14,114;95,245;13,102;1,045;1,168;0,928;0,923;0
abc006.jpg;89;87;89,247;16,958;81,786;15,831;91,341;16,461;94,614;15,882;1,036;1,157;0,965;1,003;0
abc006.jpg;90;28;32,534;16,943;24,155;11,584;31,443;12,527;42,003;20,223;1,336;1,739;1,614;1,746;0
abc006.jpg;91;36;40,29;19,428;28,88;11,629;37,558;13,292;54,43;21,972;1,449;1,885;1,653;1,889;0
abc006.jpg;92;31;43,315;34,205;28,267;17,728;39,664;23,265;62,014;45,441;1,563;2,194;1,953;2,563;0
abc006.jpg;93;53;80,51;69,207;48,795;40,687;78,096;61,48;114,64;82,202;1,468;2,349;1,337;2,02;1
abc006.jpg;94;39;63,947;62,803;44,469;43,443;66,091;63,623;81,282;72,202;1,23;1,828;1,135;1,662;1
abc006.jpg;95;53;54,389;18,766;42,61;13,855;55,214;15,668;65,342;18,964;1,183;1,534;1,21;1,369;0
abc006.jpg;96;68;69,877;20,013;57,219;15,706;67,506;15,51;84,907;17,962;1,258;1,484;1,158;1,144;0
abc006.jpg;97;71;71,309;13,361;64,389;12,254;71,285;11,619;78,253;12,422;1,098;1,215;1,069;1,014;0
abc006.jpg;98;66;65,819;10,714;61,448;9,81;67,68;10,635;68,33;10,303;1,01;1,112;0,969;1,05;0
abc006.jpg;99;64;70,062;19,891;63,795;17,281;72,667;19,885;73,725;20,818;1,015;1,156;1,047;1,205;0
abc008.jpg;0;108;106,41;24,022;89,95;19,071;101,011;18,583;128,267;15,632;1,27;1,426;0,841;0,82;0
abc008.jpg;1;122;119,609;18,988;105,44;15,522;115,818;13,708;137,568;10,729;1,188;1,305;0,783;0,691;0
abc008.jpg;2;79;83,925;17,349;67,656;7,51;78,333;6,571;105,786;5,433;1,35;1,564;0,827;0,723;0
abc008.jpg;3;73;79,288;18,3;61,541;5,807;73,286;6,029;103,037;4,434;1,406;1,674;0,735;0,763;0
abc008.jpg;4;74;78,789;18,241;61,32;6,658;73,344;6,633;101,704;7,067;1,387;1,659;1,066;1,061;0
abc008.jpg;5;86;87,069;18,993;70,749;11,317;82,168;11,296;108,29;9,263;1,318;1,531;0,82;0,818;0
abc008.jpg;6;110;110,94;12,882;99,542;8,198;107,379;6,272;125,899;4,989;1,172;1,265;0,795;0,609;0
abc008.jpg;7;115;115,879;11,096;105,986;6,656;112,605;5,57;129,048;3,469;1,146;1,218;0,623;0,521;0
abc008.jpg;8;137;136,981;7,846;132,19;6,903;134,173;5,1;144,581;4,734;1,078;1,094;0,928;0,686;0
abc008.jpg;9;135;135,692;4,938;132,531;2,656;133,485;2,719;141,061;3,877;1,057;1,064;1,426;1,46;0
abc008.jpg;10;110;131,446;77,506;53,651;20,173;140,102;56,643;200,586;59,15;1,432;3,739;1,044;2,932;1
abc008.jpg;11;125;137,271;67,122;68,835;19,884;145,597;45,872;197,381;51,483;1,356;2,867;1,122;2,589;1
abc008.jpg;12;97;122,779;68,7;59,142;11,186;126,912;51,145;182,282;61,733;1,436;3,082;1,207;5,519;1
abc008.jpg;13;76;90,623;46,227;55,066;12,766;83,258;27,28;133,546;48,401;1,604;2,425;1,774;3,791;1
abc008.jpg;14;71;77,137;23,088;54,888;8,916;69,874;8,261;106,65;5,714;1,526;1,943;0,692;0,641;0
abc008.jpg;15;86;90,404;21,61;70,341;10,572;84,173;10,461;116,699;6,858;1,386;1,659;0,656;0,649;0
abc008.jpg;16;94;99,321;17,19;82,082;5,565;94,315;4,966;121,565;3,718;1,289;1,481;0,749;0,668;0
abc008.jpg;17;105;109,87;14,669;96,21;6,411;105,277;6,142;128,125;5,076;1,217;1,332;0,826;0,792;0
abc008.jpg;18;134;133,855;13,659;122,078;9,208;130,694;8,591;148,792;5,413;1,138;1,219;0,63;0,588;0
abc008.jpg;19;135;136,797;11,521;125,786;5,516;133,458;4,027;151,147;3,638;1,133;1,202;0,903;0,659;0
abc008.jpg;20;159;147,168;91,139;33,526;10,7;160,733;40,436;247,245;7,453;1,538;7,375;0,184;0,697;1
abc008.jpg;21;178;159,494;87,522;49,149;21,518;181,594;44,867;247,739;7,259;1,364;5,041;0,162;0,337;1
abc008.jpg;22;220;174,623;84,143;62,296;20,712;213,438;34,898;248,136;8,078;1,163;3,983;0,231;0,39;1
abc008.jpg;23;90;124,211;81,966;45,461;21,68;128,283;76,604;198,888;44,971;1,55;4,375;0,587;2,074;1
abc008.jpg;24;55;64,613;26,29;40,131;7;54,918;7,447;98,789;10,376;1,799;2,462;1,393;1,482;0
abc008.jpg;25;60;64,874;23,795;44,955;8,79;56,757;11,99;92,91;15,128;1,637;2,067;1,262;1,721;0
abc008.jpg;26;80;84,039;26,928;70,422;19,205;78,648;21,552;103,048;27,682;1,31;1,463;1,284;1,441;0
abc008.jpg;27;89;88,433;25,798;78,56;20,436;83,587;21,01;103,15;28,284;1,234;1,313;1,346;1,384;0
abc008.jpg;28;87;89,325;23,84;82,682;17,83;85,514;19,983;99,779;28,634;1,167;1,207;1,433;1,606;0
abc008.jpg;29;109;108,011;28,139;102,893;13,947;103,754;24,196;117,387;38,252;1,131;1,141;1,581;2,743;0
abc008.jpg;30;124;138,535;88,834;35,258;8,966;131,667;26,44;248,68;7,039;1,889;7,053;0,266;0,785;1
abc008.jpg;31;187;156,541;88,48;49,808;23,004;180,534;62,057;239,28;17,099;1,325;4,804;0,276;0,743;1
abc008.jpg;32;225;173,442;84,717;68,446;26,945;212,021;58,526;239,859;21,359;1,131;3,504;0,365;0,793;1
abc008.jpg;33;138;138,734;86,605;44,246;21,288;154,048;70,505;217,907;40,573;1,415;4,925;0,575;1,906;1
abc008.jpg;34;48;62,576;35,478;30,726;6,578;48,691;7,983;108,31;19,239;2,224;3,525;2,41;2,925;0
abc008.jpg;35;39;49,07;27,061;24,651;7,675;37,269;6,152;85,29;7,261;2,288;3,46;1,18;0,946;0
abc008.jpg;36;36;41,312;22,053;24,107;14,969;33,09;11,915;66,739;9,102;2,017;2,768;0,764;0,608;0
abc008.jpg;37;31;34,039;22,266;17,362;17,244;28,123;14,716;56,632;12,242;2,014;3,262;0,832;0,71;0
abc008.jpg;38;53;45,538;20,674;36,338;25,058;42,194;17,598;58,083;9,563;1,377;1,598;0,543;0,382;0
abc008.jpg;39;63;64,565;6,393;70,293;6,664;62,704;4,34;60,698;2,856;0,968;0,863;0,658;0,429;0
abc008.jpg;40;62;95,215;77,776;24,59;12,153;68,09;30,185;192,965;42,543;2,834;7,847;1,409;3,501;1
abc008.jpg;41;59;96,503;76,851;27,846;13,284;83,24;53,324;178,424;55,657;2,143;6,407;1,044;4,19;1
abc008.jpg;42;150;144,934;86,037;41,603;15,052;153,917;45,31;239,283;16,364;1,555;5,752;0,361;1,087;1
abc008.jpg;43;69;95,371;68,98;27,331;13,721;82,87;36,845;175,91;38,166;2,123;6,436;1,036;2,782;1
abc008.jpg;44;61;89,525;70,708;30,858;21,785;85,016;65,107;152,702;53,215;1,796;4,949;0,817;2,443;1
abc008.jpg;45;29;43,717;32,071;15,008;4,897;30,186;8,277;85,958;14,196;2,848;5,728;1,715;2,899;0
abc008.jpg;46;36;40,742;25,671;22,63;13,202;30,89;14,443;68,707;19,67;2,224;3,036;1,362;1,49;0
abc008.jpg;47;29;42,199;43,564;16,405;17,399;29,877;27,846;80,317;48,428;2,688;4,896;1,739;2,783;0
abc008.jpg;48;40;45,414;34,579;19,822;18,261;35,589;20,868;80,832;28,499;2,271;4,078;1,366;1,561;0
abc008.jpg;49;55;57,045;20,515;47,928;11,963;51,706;8,797;71,502;26,859;1,383;1,492;3,053;2,245;0
abc008.jpg;50;30;54,63;46,857;17,614;5,922;31,338;9,976;114,939;30,038;3,668;6,525;3,011;5,072;0
abc008.jpg;51;31;55,246;53,662;20,738;9,906;41,365;38,518;103,635;57,724;2,505;4,997;1,499;5,827;0
abc008.jpg;52;154;143,955;90,783;41,094;14,973;153,275;68,326;237,494;20,371;1,549;5,779;0,298;1,361;1
abc008.jpg;53;224;176,655;83,718;66,245;30,533;218,238;36,257;245,482;11,08;1,125;3,706;0,306;0,363;1
abc008.jpg;54;97;109,741;83,727;32,698;33,416;113,005;76,467;183,52;51,741;1,624;5,613;0,677;1,548;1
abc008.jpg;55;31;50,259;42,92;13,482;9,415;33,539;14,97;103,757;26,825;3,094;7,696;1,792;2,849;0
abc008.jpg;56;45;61,776;43,049;24,24;9,676;47,88;17,002;113,208;30,49;2,364;4,67;1,793;3,151;0
abc008.jpg;57;42;65,871;55,24;19,325;13,231;52,92;37,434;125,37;41,274;2,369;6,487;1,103;3,119;1
abc008.jpg;58;40;59,06;49,467;13,63;11;43,064;17,953;120,485;28,372;2,798;8,839;1,58;2,579;0
abc008.jpg;59;79;98,94;71,664;33,426;21,08;88,37;46,864;175,024;50,733;1,981;5,236;1,083;2,407;1
abc008.jpg;60;21;30,049;22,46;13,926;5,92;18,541;5,602;57,68;17,059;3,111;4,142;3,045;2,881;0
abc008.jpg;61;23;30,051;19,348;16,198;5,63;20,587;6,922;53,366;14,777;2,592;3,295;2,135;2,625;0
abc008.jpg;62;45;66,329;58,444;27,949;13,665;48,47;37,518;122,566;60,813;2,529;4,385;1,621;4,45;0
abc008.jpg;63;160;147,332;86,545;43,779;12,602;156,862;47,589;241,355;19,802;1,539;5,513;0,416;1,571;1
abc008.jpg;64;159;147,96;90,44;34,493;17,164;163,598;37,943;245,789;10,676;1,502;7,126;0,281;0,622;1
abc008.jpg;65;179;152,55;91,704;34,528;17,675;179,03;40,258;244,093;16,892;1,363;7,069;0,42;0,956;1
abc008.jpg;66;188;155,175;91,794;34,832;17,325;185,962;36,138;244,733;14,877;1,316;7,026;0,412;0,859;1
abc008.jpg;67;174;144,654;93,617;31,784;16,961;171,506;63,941;230,672;32,506;1,345;7,257;0,508;1,917;1
abc008.jpg;68;67;92,443;70,879;21,482;12,464;76,808;26,668;179,04;37,763;2,331;8,335;1,416;3,03;1
abc008.jpg;69;157;148,613;89,468;47,326;29,279;175,33;68,711;223,182;43,612;1,273;4,716;0,635;1,49;1
abc008.jpg;70;43;53,272;38,135;29,061;18,885;36,995;20,357;93,76;33,189;2,534;3,226;1,63;1,757;0
abc008.jpg;71;31;41,917;34,822;24,658;19,438;29,851;22,13;71,243;38,297;2,387;2,889;1,731;1,97;0
abc008.jpg;72;28;44,412;35,628;19,64;11,309;30,306;19,473;83,29;31,255;2,748;4,241;1,605;2,764;0
abc008.jpg;73;79;104,047;78,021;32,637;20,996;93,059;56,093;186,445;51,626;2,004;5,713;0,92;2,459;1
abc008.jpg;74;78;104,305;77,756;34,221;11,985;86,762;44,156;191,931;56,097;2,212;5,609;1,27;4,681;1
abc008.jpg;75;140;135,018;89,714;31,749;11,709;137,614;47,769;235,691;30,337;1,713;7,424;0,635;2,591;1
abc008.jpg;76;175;148,701;91,288;35,92;15,303;164,814;48,372;245,368;10,15;1,489;6,831;0,21;0,663;1
abc008.jpg;77;195;155,04;92,337;38,219;20,148;186,141;51,712;240,76;23,157;1,293;6,299;0,448;1,149;1
abc008.jpg;78;117;126,47;87,841;28,426;9,934;116,304;28,34;234,682;28,643;2,018;8,256;1,011;2,883;1
abc008.jpg;79;146;156,265;88,87;51,661;30,942;170,749;58,197;246,384;8,712;1,443;4,769;0,15;0,282;1
abc008.jpg;80;36;37,291;16,914;25,882;11,243;30,59;7,403;55,402;13,19;1,811;2,141;1,782;1,173;0
abc008.jpg;81;38;41,086;24,277;25,846;15,426;33,603;13,016;63,808;23,585;1,899;2,469;1,812;1,529;0
abc008.jpg;82;42;50,765;35,407;28,544;17,144;40,158;17,72;83,592;38,331;2,082;2,929;2,163;2,236;0
abc008.jpg;83;61;90,694;73,897;33,928;20,935;84,685;55,765;153,469;75,068;1,812;4,523;1,346;3,586;1
abc008.jpg;84;77;102,416;80,442;31,758;26,764;96,923;59,987;178,566;65,392;1,842;5,623;1,09;2,443;1
abc008.jpg;85;69;93,594;70,325;32,93;25,854;82,59;54,135;165,261;47,963;2,001;5,019;0,886;1,855;1
abc008.jpg;86;83;110,734;72,628;37,174;15,66;93,15;27,9;201,878;27,809;2,167;5,431;0,997;1,776;1
abc008.jpg;87;205;167,446;84,422;53,928;17,784;201,704;25,546;246,707;8,379;1,223;4,575;0,328;0,471;1
abc008.jpg;88;134;144,827;85,272;44,165;17,21;145,648;36,069;244,669;10,707;1,68;5,54;0,297;0,622;1
abc008.jpg;89;130;133,007;85,63;35,016;18,35;129,616;33,801;234,39;25,018;1,808;6,694;0,74;1,363;1
abc008.jpg;90;44;43,182;10,185;41,829;8,821;36,742;7,476;50,974;8,571;1,387;1,219;1,147;0,972;0
abc008.jpg;91;46;45,182;9,184;44,629;7,987;38,821;6,514;52,098;7,631;1,342;1,167;1,172;0,956;0
abc008.jpg;92;47;46,674;9,832;45,354;8,755;40,12;6,615;54,547;7,934;1,36;1,203;1,199;0,906;0
abc008.jpg;93;47;47,495;7,882;46,189;6,406;40,923;4,195;55,374;4,555;1,353;1,199;1,086;0,711;0
abc008.jpg;94;46;46,474;8,051;44,299;7,583;40,432;3,765;54,69;3,745;1,353;1,235;0,995;0,494;0
abc008.jpg;95;44;44,589;12,307;39,541;12,006;38,736;4,737;55,49;10,453;1,433;1,403;2,207;0,871;0
abc008.jpg;96;45;51,563;34,796;38,819;16,566;45,474;26,727;70,397;45,708;1,548;1,813;1,71;2,759;0
abc008.jpg;97;46;63,499;56,517;39,36;17,734;61,957;54,181;89,179;71,33;1,439;2,266;1,317;4,022;0
abc008.jpg;98;47;77,564;71,029;40,149;23,439;79,003;64,15;113,539;88,174;1,437;2,828;1,374;3,762;1
abc008.jpg;99;45;87,483;78,957;37,301;19,918;92,445;68,004;132,704;95,361;1,435;3,558;1,402;4,788;1
abc040.jpg;0;1;1,644;2,611;2,498;2,681;1,088;2,474;1,347;2,451;1,238;0,539;0,991;0,914;0
abc040.jpg;1;1;1,196;0,927;1,742;1,079;0,512;0,5;1,334;0,613;2,606;0,766;1,227;0,568;0
abc040.jpg;2;1;1,375;1,372;1,069;0,375;0,107;0,309;2,949;1,109;27,507;2,759;3,584;2,954;0
abc040.jpg;3;2;1,92;1,58;1,514;0,572;0,552;0,497;3,694;1,314;6,693;2,441;2,642;2,299;0
abc040.jpg;4;2;2,47;1,754;1,79;0,515;0,829;0,405;4,79;0,515;5,78;2,676;1,27;1;0
abc040.jpg;5;2;2,319;1,902;1,23;0,906;0,864;0,357;4,864;0,357;5,63;3,953;1;0,394;0
abc040.jpg;6;1;2,171;1,967;1,037;0,935;0,757;0,656;4,718;0,725;6,235;4,551;1,105;0,775;0
abc040.jpg;7;2;2,115;1,67;1,395;0,931;0,885;0,489;4,066;1,195;4,595;2,914;2,441;1,284;0
abc040.jpg;8;1;1,762;1,584;1,36;0,62;0,437;0,496;3,49;1,412;7,989;2,566;2,847;2,279;0
abc040.jpg;9;1;1,686;2,285;1,186;1,119;0,518;1,66;3,354;2,694;6,469;2,829;1,623;2,408;0
abc040.jpg;10;1;1,538;2,8;1,752;2,861;0,998;2,758;1,862;2,699;1,865;1,063;0,978;0,943;0
abc040.jpg;11;1;1,171;1,087;1,083;0,276;0,083;0,276;2,346;0,906;28,192;2,165;3,281;3,281;0
abc040.jpg;12;2;2,471;1,675;1,862;0,435;0,933;0,25;4,619;0,905;4,952;2,48;3,613;2,08;0
abc040.jpg;13;2;2,558;1,811;1,648;0,753;1,013;0,112;5,013;0,112;4,949;3,042;1;0,149;0
abc040.jpg;14;2;2,409;2,115;0,782;1,003;1,222;0,473;5,222;0,473;4,272;6,675;1;0,472;0
abc040.jpg;15;2;2,901;2,225;0,92;0,645;1,891;0,526;5,891;0,526;3,115;6,403;1;0,815;0
abc040.jpg;16;2;2,846;2,226;0,803;0,436;1,867;0,46;5,867;0,46;3,142;7,305;1;1,054;0
abc040.jpg;17;2;2,701;2,22;0,797;0,685;1,64;0,609;5,666;0,639;3,455;7,11;1,049;0,933;0
abc040.jpg;18;2;2,386;1,885;1,395;0,837;0,875;0,431;4,888;0,503;5,585;3,503;1,166;0,601;0
abc040.jpg;19;5;8,166;8,695;5,157;6,513;6,68;7,463;12,661;9,86;1,895;2,455;1,321;1,514;0
abc040.jpg;20;1;2,005;2,815;1,72;2,598;0,854;2,53;3,44;2,677;4,026;2;1,058;1,03;0
abc040.jpg;21;2;2,525;1,756;1,811;0,415;0,882;0,394;4,882;0,394;5,537;2,695;1;0,95;0
abc040.jpg;22;2;2,518;2,083;0,936;0,859;1,309;0,514;5,309;0,514;4,056;5,672;1;0,599;0
